═══════════════════════════════════════════════════════════════
  Site            : tv-programme.telecablesat.fr
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 56s
  Channels        : 536
  With programmes : 5
  Empty channels  : 531
  Total programs  : 112
  Output size     : 115140 bytes
  HTTP errors     :
    531 status code 503
  Last error      : Request failed with status code 503
  Generated       : 2026-04-24 12:56:48
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:55:52 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tv-programme.telecablesat.fr --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 268 channel(s)
ℹ loading api data...
ℹ   [115/536] tv-programme.telecablesat.fr (fr) - RTPMundo.pt@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [116/536] tv-programme.telecablesat.fr (fr) - RTPMundo.pt@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [117/536] tv-programme.telecablesat.fr (fr) - Seasons.fr@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [118/536] tv-programme.telecablesat.fr (fr) - Seasons.fr@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [119/536] tv-programme.telecablesat.fr (fr) - RTS2.ch@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [120/536] tv-programme.telecablesat.fr (fr) - RTS2.ch@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [121/536] tv-programme.telecablesat.fr (fr) - TCMCinema.fr@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [122/536] tv-programme.telecablesat.fr (fr) - TCMCinema.fr@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [123/536] tv-programme.telecablesat.fr (fr) - Tipik.be@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [124/536] tv-programme.telecablesat.fr (fr) - Tipik.be@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [125/536] tv-programme.telecablesat.fr (fr) - Teva.fr@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [126/536] tv-programme.telecablesat.fr (fr) - Teva.fr@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [127/536] tv-programme.telecablesat.fr (fr) - TF1.fr@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [128/536] tv-programme.telecablesat.fr (fr) - TF1.fr@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [129/536] tv-programme.telecablesat.fr (fr) - TMC.fr@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [130/536] tv-programme.telecablesat.fr (fr) - TMC.fr@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [131/536] tv-programme.telecablesat.fr (fr) - TeletoonPlus.fr@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [132/536] tv-programme.telecablesat.fr (fr) - TeletoonPlus.fr@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [133/536] tv-programme.telecablesat.fr (fr) - RSILa1.ch@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [134/536] tv-programme.telecablesat.fr (fr) - RSILa1.ch@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [135/536] tv-programme.telecablesat.fr (fr) - RSILa2.ch@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [136/536] tv-programme.telecablesat.fr (fr) - RSILa2.ch@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [137/536] tv-programme.telecablesat.fr (fr) - RTS1.ch@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [138/536] tv-programme.telecablesat.fr (fr) - RTS1.ch@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [139/536] tv-programme.telecablesat.fr (fr) - TV5MondeFranceBelgiumSwitzerlandMonaco.fr@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [140/536] tv-programme.telecablesat.fr (fr) - TV5MondeFranceBelgiumSwitzerlandMonaco.fr@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [141/536] tv-programme.telecablesat.fr (fr) - La1.es@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [142/536] tv-programme.telecablesat.fr (fr) - La1.es@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [143/536] tv-programme.telecablesat.fr (fr) - La2.es@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [144/536] tv-programme.telecablesat.fr (fr) - La2.es@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [145/536] tv-programme.telecablesat.fr (fr) - TVEInternacionalEuropeAsia.es@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [146/536] tv-programme.telecablesat.fr (fr) - TVEInternacionalEuropeAsia.es@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [147/536] tv-programme.telecablesat.fr (nl) - VTM.be@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [148/536] tv-programme.telecablesat.fr (nl) - VTM.be@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [149/536] tv-programme.telecablesat.fr (fr) - XXL.fr@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [150/536] tv-programme.telecablesat.fr (fr) - XXL.fr@SD - Apr 25, 2026 (0 programs)
