═══════════════════════════════════════════════════════════════
  Site            : sky.com
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 113s
  Channels        : 1066
  With programmes : 1014
  Empty channels  : 52
  Total programs  : 27995
  Output size     : 15867215 bytes
  Generated       : 2026-04-24 12:01:19
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 11:59:26 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=sky.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 533 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [219/1066] sky.com (en) - BBCOne.uk@YorkshireLincolnshireHD - Apr 24, 2026 (23 programs)
ℹ   [220/1066] sky.com (en) - BBCOne.uk@YorkshireLincolnshireHD - Apr 25, 2026 (23 programs)
ℹ   [221/1066] sky.com (en) - BBCParliament.uk@HD - Apr 24, 2026 (17 programs)
ℹ   [222/1066] sky.com (en) - BBCParliament.uk@HD - Apr 25, 2026 (15 programs)
ℹ   [223/1066] sky.com (en) - BBCRedButton1.uk@HD - Apr 24, 2026 (9 programs)
ℹ   [224/1066] sky.com (en) - BBCRedButton1.uk@HD - Apr 25, 2026 (11 programs)
ℹ   [225/1066] sky.com (en) - BBCScotland.uk@HD - Apr 24, 2026 (8 programs)
ℹ   [226/1066] sky.com (en) - BBCScotland.uk@HD - Apr 25, 2026 (11 programs)
ℹ   [227/1066] sky.com (en) - BBCThree.uk@HD - Apr 24, 2026 (15 programs)
ℹ   [228/1066] sky.com (en) - BBCThree.uk@HD - Apr 25, 2026 (17 programs)
ℹ   [229/1066] sky.com (en) - BBCTwo.uk@HD - Apr 24, 2026 (22 programs)
ℹ   [230/1066] sky.com (en) - BBCTwo.uk@NorthernIrelandHD - Apr 25, 2026 (25 programs)
ℹ   [231/1066] sky.com (en) - BBCTwo.uk@NorthernIrelandHD - Apr 24, 2026 (22 programs)
ℹ   [232/1066] sky.com (en) - BBCTwo.uk@HD - Apr 25, 2026 (26 programs)
ℹ   [233/1066] sky.com (en) - BBCTwo.uk@NorthernIrelandHD - Apr 24, 2026 (22 programs)
ℹ   [234/1066] sky.com (en) - BBCTwo.uk@NorthernIrelandHD - Apr 25, 2026 (25 programs)
ℹ   [235/1066] sky.com (en) - BestDirect.uk@SD - Apr 24, 2026 (4 programs)
ℹ   [236/1066] sky.com (en) - BBCTwo.uk@WalesHD - Apr 24, 2026 (22 programs)
ℹ   [237/1066] sky.com (en) - BBCTwo.uk@WalesHD - Apr 25, 2026 (30 programs)
ℹ   [238/1066] sky.com (en) - BestDirect.uk@SD - Apr 25, 2026 (4 programs)
ℹ   [239/1066] sky.com (en) - Blaze.uk@SD - Apr 24, 2026 (34 programs)
ℹ   [240/1066] sky.com (en) - BloombergTV.us@Europe - Apr 24, 2026 (17 programs)
ℹ   [241/1066] sky.com (en) - BloombergTV.us@Europe - Apr 25, 2026 (34 programs)
ℹ   [242/1066] sky.com (en) - Blaze.uk@SD - Apr 25, 2026 (26 programs)
ℹ   [243/1066] sky.com (en) - Boomerang.uk@HD - Apr 24, 2026 (32 programs)
ℹ   [244/1066] sky.com (en) - Boomerang.uk@HD - Apr 25, 2026 (32 programs)
ℹ   [245/1066] sky.com (en) - Boomerang.uk@Plus1 - Apr 25, 2026 (33 programs)
ℹ   [246/1066] sky.com (en) - Boomerang.uk@Plus1 - Apr 24, 2026 (33 programs)
ℹ   [247/1066] sky.com (en) - Boomerang.uk@SD - Apr 24, 2026 (32 programs)
ℹ   [248/1066] sky.com (en) - Boomerang.uk@SD - Apr 25, 2026 (32 programs)
ℹ   [249/1066] sky.com (en) - Cartoonito.uk@SD - Apr 24, 2026 (31 programs)
ℹ   [250/1066] sky.com (en) - Cartoonito.uk@SD - Apr 25, 2026 (31 programs)
ℹ   [251/1066] sky.com (en) - CartoonNetwork.uk@HD - Apr 24, 2026 (35 programs)
ℹ   [252/1066] sky.com (en) - CartoonNetwork.uk@HD - Apr 25, 2026 (30 programs)
