═══════════════════════════════════════════════════════════════
  Site            : tv-spored.siol.net
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 153s
  Channels        : 624
  With programmes : 555
  Empty channels  : 69
  Total programs  : 16180
  Output size     : 3632568 bytes
  HTTP errors     :
    3 status code 500
  Last error      : Request failed with status code 500
  Generated       : 2026-04-24 12:59:21
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:56:48 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tv-spored.siol.net --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 312 channel(s)
ℹ loading api data...
ℹ   [177/624] tv-spored.siol.net (sl) - extremede - Apr 24, 2026 (12 programs)
ℹ   [178/624] tv-spored.siol.net (sl) - fashionbox - Apr 25, 2026 (29 programs)
ℹ   [179/624] tv-spored.siol.net (sl) - fashionhd - Apr 24, 2026 (23 programs)
ℹ   [180/624] tv-spored.siol.net (sl) - fast_and_funbox - Apr 24, 2026 (44 programs)
ℹ   [181/624] tv-spored.siol.net (sl) - fashionhd - Apr 25, 2026 (23 programs)
ℹ   [182/624] tv-spored.siol.net (sl) - fast_and_funbox - Apr 25, 2026 (45 programs)
ℹ   [183/624] tv-spored.siol.net (sl) - fightbox - Apr 24, 2026 (16 programs)
ℹ   [184/624] tv-spored.siol.net (sl) - filmbox_arthouse - Apr 24, 2026 (19 programs)
ℹ   [185/624] tv-spored.siol.net (sl) - fightbox - Apr 25, 2026 (15 programs)
ℹ   [186/624] tv-spored.siol.net (sl) - filmbox_arthouse - Apr 25, 2026 (19 programs)
ℹ   [187/624] tv-spored.siol.net (sl) - filmbox_extra - Apr 24, 2026 (14 programs)
ℹ   [188/624] tv-spored.siol.net (sl) - filmbox_extra - Apr 25, 2026 (12 programs)
ℹ   [189/624] tv-spored.siol.net (sl) - filmbox_premium - Apr 25, 2026 (13 programs)
ℹ   [190/624] tv-spored.siol.net (sl) - filmbox_premium - Apr 24, 2026 (13 programs)
ℹ   [191/624] tv-spored.siol.net (sl) - filmbox_stars - Apr 24, 2026 (14 programs)
ℹ   [192/624] tv-spored.siol.net (sl) - filmbox_stars - Apr 25, 2026 (13 programs)
ℹ   [193/624] tv-spored.siol.net (sl) - folkp - Apr 24, 2026 (5 programs)
ℹ   [194/624] tv-spored.siol.net (sl) - folkp - Apr 25, 2026 (5 programs)
ℹ   [195/624] tv-spored.siol.net (sl) - fox - Apr 25, 2026 (29 programs)
ℹ   [196/624] tv-spored.siol.net (sl) - folx - Apr 25, 2026 (11 programs)
ℹ   [197/624] tv-spored.siol.net (sl) - fox - Apr 24, 2026 (29 programs)
ℹ   [198/624] tv-spored.siol.net (sl) - folx - Apr 24, 2026 (11 programs)
ℹ   [199/624] tv-spored.siol.net (sl) - foxcrime - Apr 24, 2026 (23 programs)
ℹ   [200/624] tv-spored.siol.net (sl) - foxcrime - Apr 25, 2026 (23 programs)
ℹ   [201/624] tv-spored.siol.net (sl) - foxmovies - Apr 25, 2026 (10 programs)
ℹ   [202/624] tv-spored.siol.net (sl) - foxlife - Apr 24, 2026 (32 programs)
ℹ   [203/624] tv-spored.siol.net (sl) - foxlife - Apr 25, 2026 (29 programs)
ℹ   [204/624] tv-spored.siol.net (sl) - foxmovies - Apr 24, 2026 (12 programs)
ℹ   [205/624] tv-spored.siol.net (sl) - foxnews - Apr 24, 2026 (17 programs)
ℹ   [206/624] tv-spored.siol.net (sl) - foxnews - Apr 25, 2026 (14 programs)
ℹ   [207/624] tv-spored.siol.net (sl) - foxydollshd - Apr 24, 2026 (0 programs)
ℹ   [208/624] tv-spored.siol.net (sl) - france24 - Apr 24, 2026 (115 programs)
ℹ   [209/624] tv-spored.siol.net (sl) - freex - Apr 24, 2026 (11 programs)
ℹ   [210/624] tv-spored.siol.net (sl) - foxydollshd - Apr 25, 2026 (0 programs)
ℹ   [211/624] tv-spored.siol.net (sl) - france24 - Apr 25, 2026 (114 programs)
ℹ   [212/624] tv-spored.siol.net (sl) - freex - Apr 25, 2026 (11 programs)
ℹ   [213/624] tv-spored.siol.net (sl) - ftv - Apr 24, 2026 (0 programs)
ℹ   [214/624] tv-spored.siol.net (sl) - ftv - Apr 25, 2026 (0 programs)
ℹ   [215/624] tv-spored.siol.net (sl) - funbox - Apr 24, 2026 (27 programs)
ℹ   [216/624] tv-spored.siol.net (sl) - funbox - Apr 25, 2026 (26 programs)
ℹ   [217/624] tv-spored.siol.net (sl) - galejatv - Apr 24, 2026 (8 programs)
ℹ   [218/624] tv-spored.siol.net (sl) - gametoon - Apr 25, 2026 (34 programs)
ℹ   [219/624] tv-spored.siol.net (sl) - gametoon - Apr 24, 2026 (39 programs)
ℹ   [220/624] tv-spored.siol.net (sl) - galejatv - Apr 25, 2026 (12 programs)
ℹ   [221/624] tv-spored.siol.net (sl) - geatv - Apr 24, 2026 (0 programs)
ℹ   [222/624] tv-spored.siol.net (sl) - geatv - Apr 25, 2026 (0 programs)
ℹ   [223/624] tv-spored.siol.net (sl) - glamhd - Apr 24, 2026 (0 programs)
ℹ   [224/624] tv-spored.siol.net (sl) - h2 - Apr 24, 2026 (31 programs)
ℹ   [225/624] tv-spored.siol.net (sl) - glamhd - Apr 25, 2026 (0 programs)
ℹ   [226/624] tv-spored.siol.net (sl) - gold - Apr 24, 2026 (18 programs)
ℹ   [227/624] tv-spored.siol.net (sl) - gold - Apr 25, 2026 (19 programs)
ℹ   [228/624] tv-spored.siol.net (sl) - h2 - Apr 25, 2026 (31 programs)
ℹ   [229/624] tv-spored.siol.net (sl) - hallmark - Apr 24, 2026 (17 programs)
ℹ   [230/624] tv-spored.siol.net (sl) - happy_puppy - Apr 24, 2026 (0 programs)
ℹ   [231/624] tv-spored.siol.net (sl) - happy - Apr 25, 2026 (30 programs)
ℹ   [232/624] tv-spored.siol.net (sl) - hallmark - Apr 25, 2026 (18 programs)
ℹ   [233/624] tv-spored.siol.net (sl) - happy - Apr 24, 2026 (31 programs)
ℹ   [234/624] tv-spored.siol.net (sl) - happy_puppy - Apr 25, 2026 (0 programs)
ℹ   [235/624] tv-spored.siol.net (sl) - happyreality1 - Apr 24, 2026 (12 programs)
ℹ   [236/624] tv-spored.siol.net (sl) - happyreality1 - Apr 25, 2026 (13 programs)
ℹ   [237/624] tv-spored.siol.net (sl) - hayat - Apr 25, 2026 (29 programs)
ℹ   [238/624] tv-spored.siol.net (sl) - happyreality2 - Apr 24, 2026 (12 programs)
ℹ   [239/624] tv-spored.siol.net (sl) - happyreality2 - Apr 25, 2026 (13 programs)
ℹ   [240/624] tv-spored.siol.net (sl) - hayat - Apr 24, 2026 (32 programs)
