═══════════════════════════════════════════════════════════════
  Site            : ontvtonight.com
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 576s
  Channels        : 10354
  With programmes : 232
  Empty channels  : 10122
  Total programs  : 6118
  Output size     : 1745962 bytes
  HTTP errors     :
    10120 status code 405
  Last error      : Request failed with status code 405
  Generated       : 2026-04-24 11:41:11
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 11:31:35 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=ontvtonight.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 5177 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [219/10354] ontvtonight.com (en) - au#1748/7mate - Apr 24, 2026 (26 programs)
ℹ   [220/10354] ontvtonight.com (en) - au#1748/7mate - Apr 25, 2026 (26 programs)
ℹ   [221/10354] ontvtonight.com (en) - au#1749/7mate - Apr 24, 2026 (26 programs)
ℹ   [222/10354] ontvtonight.com (en) - au#1749/7mate - Apr 25, 2026 (26 programs)
ℹ   [223/10354] ontvtonight.com (en) - au#1750/7mate - Apr 24, 2026 (26 programs)
ℹ   [224/10354] ontvtonight.com (en) - au#1750/7mate - Apr 25, 2026 (26 programs)
ℹ   [225/10354] ontvtonight.com (en) - au#1751/7mate - Apr 24, 2026 (26 programs)
ℹ   [226/10354] ontvtonight.com (en) - au#1751/7mate - Apr 25, 2026 (26 programs)
ℹ   [227/10354] ontvtonight.com (en) - au#1752/7mate - Apr 24, 2026 (26 programs)
ℹ   [228/10354] ontvtonight.com (en) - au#1752/7mate - Apr 25, 2026 (26 programs)
ℹ   [229/10354] ontvtonight.com (en) - au#1753/7mate - Apr 24, 2026 (26 programs)
ℹ   [230/10354] ontvtonight.com (en) - au#1753/7mate - Apr 25, 2026 (26 programs)
ℹ   [231/10354] ontvtonight.com (en) - au#1754/7mate - Apr 24, 2026 (26 programs)
ℹ   [232/10354] ontvtonight.com (en) - au#1754/7mate - Apr 25, 2026 (26 programs)
