═══════════════════════════════════════════════════════════════
  Site            : tv24.co.uk
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 197s
  Channels        : 2144
  With programmes : 1204
  Empty channels  : 940
  Total programs  : 35238
  Output size     : 10998048 bytes
  Generated       : 2026-04-24 12:28:33
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:25:16 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tv24.co.uk --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 1072 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [172/2144] tv24.co.uk (en) - bbc-four-england-split - Apr 25, 2026 (0 programs)
ℹ   [173/2144] tv24.co.uk (en) - bbc-four-hd - Apr 24, 2026 (14 programs)
ℹ   [174/2144] tv24.co.uk (en) - bbc-four-hd - Apr 25, 2026 (11 programs)
ℹ   [175/2144] tv24.co.uk (en) - bbc-four-ni-split - Apr 24, 2026 (0 programs)
ℹ   [176/2144] tv24.co.uk (en) - bbc-four-ni-split - Apr 25, 2026 (0 programs)
ℹ   [177/2144] tv24.co.uk (en) - bbc-four-scotland-split - Apr 24, 2026 (0 programs)
ℹ   [178/2144] tv24.co.uk (en) - bbc-four-scotland-split - Apr 25, 2026 (0 programs)
ℹ   [179/2144] tv24.co.uk (en) - bbc-four-wales-split - Apr 24, 2026 (0 programs)
ℹ   [180/2144] tv24.co.uk (en) - bbc-four-wales-split - Apr 25, 2026 (0 programs)
ℹ   [181/2144] tv24.co.uk (en) - BBCNews.uk@Africa - Apr 25, 2026 (42 programs)
ℹ   [182/2144] tv24.co.uk (en) - BBCNews.uk@Africa - Apr 24, 2026 (48 programs)
ℹ   [183/2144] tv24.co.uk (en) - bbc-news-hd - Apr 24, 2026 (48 programs)
ℹ   [184/2144] tv24.co.uk (en) - bbc-news-hd - Apr 25, 2026 (42 programs)
ℹ   [185/2144] tv24.co.uk (en) - bbc-one-cambridgeshire - Apr 24, 2026 (37 programs)
ℹ   [186/2144] tv24.co.uk (en) - bbc-one-channel-islands - Apr 24, 2026 (37 programs)
ℹ   [187/2144] tv24.co.uk (en) - bbc-one-cambridgeshire - Apr 25, 2026 (33 programs)
ℹ   [188/2144] tv24.co.uk (en) - bbc-one-channel-islands - Apr 25, 2026 (33 programs)
ℹ   [189/2144] tv24.co.uk (en) - bbc-one-channel-islands-hd - Apr 25, 2026 (33 programs)
ℹ   [190/2144] tv24.co.uk (en) - bbc-one-channel-islands-hd - Apr 24, 2026 (37 programs)
ℹ   [191/2144] tv24.co.uk (en) - bbc-one-east - Apr 24, 2026 (37 programs)
ℹ   [192/2144] tv24.co.uk (en) - bbc-one-east - Apr 25, 2026 (33 programs)
ℹ   [193/2144] tv24.co.uk (en) - bbc-one-east-hd - Apr 24, 2026 (37 programs)
ℹ   [194/2144] tv24.co.uk (en) - bbc-one-east-midlands - Apr 24, 2026 (37 programs)
ℹ   [195/2144] tv24.co.uk (en) - bbc-one-east-hd - Apr 25, 2026 (33 programs)
ℹ   [196/2144] tv24.co.uk (en) - bbc-one-east-midlands - Apr 25, 2026 (33 programs)
ℹ   [197/2144] tv24.co.uk (en) - bbc-one-east-midlands-hd - Apr 24, 2026 (37 programs)
ℹ   [198/2144] tv24.co.uk (en) - bbc-one-east-midlands-hd - Apr 25, 2026 (33 programs)
ℹ   [199/2144] tv24.co.uk (en) - bbc-one-east-midlands-hd-vm - Apr 24, 2026 (0 programs)
ℹ   [200/2144] tv24.co.uk (en) - bbc-one-east-midlands-hd-vm - Apr 25, 2026 (0 programs)
ℹ   [201/2144] tv24.co.uk (en) - bbc-one-east-west-hd-vm - Apr 25, 2026 (0 programs)
ℹ   [202/2144] tv24.co.uk (en) - bbc-one-east-west-hd-vm - Apr 24, 2026 (0 programs)
ℹ   [203/2144] tv24.co.uk (en) - bbc-one-hd - Apr 24, 2026 (37 programs)
ℹ   [204/2144] tv24.co.uk (en) - bbc-one-hd-northern-ireland - Apr 24, 2026 (0 programs)
ℹ   [205/2144] tv24.co.uk (en) - bbc-one-hd - Apr 25, 2026 (33 programs)
ℹ   [206/2144] tv24.co.uk (en) - bbc-one-hd-northern-ireland - Apr 25, 2026 (0 programs)
ℹ   [207/2144] tv24.co.uk (en) - bbc-one-hd-northern-ireland-1 - Apr 24, 2026 (0 programs)
ℹ   [208/2144] tv24.co.uk (en) - bbc-one-hd-northern-ireland-1 - Apr 25, 2026 (0 programs)
ℹ   [209/2144] tv24.co.uk (en) - bbc-one-hd-scotland - Apr 24, 2026 (0 programs)
ℹ   [210/2144] tv24.co.uk (en) - bbc-one-hd-scotland - Apr 25, 2026 (0 programs)
ℹ   [211/2144] tv24.co.uk (en) - bbc-one-hd-scotland-1 - Apr 24, 2026 (0 programs)
ℹ   [212/2144] tv24.co.uk (en) - bbc-one-hd-scotland-1 - Apr 25, 2026 (0 programs)
ℹ   [213/2144] tv24.co.uk (en) - bbc-one-hd-wales - Apr 24, 2026 (0 programs)
ℹ   [214/2144] tv24.co.uk (en) - bbc-one-hd-wales - Apr 25, 2026 (0 programs)
ℹ   [215/2144] tv24.co.uk (en) - bbc-one-hd-wales-1 - Apr 24, 2026 (0 programs)
ℹ   [216/2144] tv24.co.uk (en) - bbc-one-hd-wales-1 - Apr 25, 2026 (0 programs)
ℹ   [217/2144] tv24.co.uk (en) - bbc-one-hdondon-l - Apr 24, 2026 (0 programs)
ℹ   [218/2144] tv24.co.uk (en) - bbc-one-hdondon-l - Apr 25, 2026 (0 programs)
ℹ   [219/2144] tv24.co.uk (en) - bbc-one-north-east-cumbria - Apr 24, 2026 (37 programs)
ℹ   [220/2144] tv24.co.uk (en) - bbc-one-north-east-cumbria - Apr 25, 2026 (33 programs)
ℹ   [221/2144] tv24.co.uk (en) - bbc-one-north-east-cumbria-hd - Apr 24, 2026 (37 programs)
ℹ   [222/2144] tv24.co.uk (en) - bbc-one-north-east-cumbria-hd - Apr 25, 2026 (33 programs)
ℹ   [223/2144] tv24.co.uk (en) - bbc-one-north-east-cumbria-hd-vm - Apr 24, 2026 (0 programs)
ℹ   [224/2144] tv24.co.uk (en) - bbc-one-north-east-cumbria-hd-vm - Apr 25, 2026 (0 programs)
ℹ   [225/2144] tv24.co.uk (en) - bbc-one-north-west - Apr 24, 2026 (37 programs)
ℹ   [226/2144] tv24.co.uk (en) - bbc-one-north-west - Apr 25, 2026 (33 programs)
ℹ   [227/2144] tv24.co.uk (en) - bbc-one-north-west-hd - Apr 24, 2026 (37 programs)
